Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
accept_belarussians_title;Grant Equal Rights to the White Ruthenians;;;;;;;;;;;;;
accept_belarussians_desc;While far from our height many centuries ago, our recent conquest of White Ruthenia puts our nation in a peculiar position. Even if there were always Slavs in our nation after our independence, now, with the inclusion of our old territories, the White Ruthenians became a sizeable portion of our population, with our people becoming a minority in our own nation. Now, our ministers suggest that the best course of action would be to, instead of letting our peoples fight against each other within our own borders, we should integrate the people of White Ruthenia in our nation, granting them equal rights to Lithuanians and finding unity in our shared history under foreign rule.;;;;;;;;;;;;;
all_german_military;All-German Military;;;;;;;;;;;;;
GER_sway_the_baltic_title;The Baltic Question;;;;;;;;;;;;;
GER_sway_the_baltic_desc;With our victory in the Baltic, our new allies in the East soon will have to choose how their new nation will be governed. As the guarantors of their independence, we naturally hold a great deal of influence with them, being offered to send representatives to the upcoming meeting in Riga. We should decide what will be our agenda in Riga and in which direction we will sway their decision into.;;;;;;;;;;;;;
EVTDESC31502020;\n\nAs we decide how to influence our new Baltic allies, some questions emerge on how to influence their future government. Some very vocal voices tell us to take every step to turn them into our puppet, but we probably should act with caution, lest we alienate our new and valuable ally. One of the more reasonable options has been to send the Grand Duke of Mecklenburg-Schwerin, an ally of ours that has been invited to bid for the throne by Baltic Monarchists. Furthermore, parts of our delegation recommend instead that we send some liberal agitators to the Baltic to create a more liberal German state to relieve us from unrest. And last but not least, we could send some envoys to their military, suggesting them to take power, for a time, of course...;;;;;;;;;;;;;
UBD_strike_first_title;Declare a War for Baltic Independence;;;;;;;;;;;;;
UBD_strike_first_desc;With the consolidation of Baltic administration and our underhand deal with Berlin struck, we are starting to take steps to make sure Russia can't curtail Baltic autonomy. Our people got in contact with Latvian and Estonian leaders, to talk about the possibility of Baltic independence, and for the nation to stay united as a state of Germans, Latvians and Estonians. Not only did we manage to strike a deal with their leadership, but they also offered to get in contact with some Latvians and Estonians in Dinaburg and Pechory to have them rise up and join the Baltic struggle for independence. Now, with everything ready, all that is left is to cast the die and depose our Russian overlords.;;;;;;;;;;;;;
UBD_claim_ingria_desc;§RGain 12.5 infamy§! When the Baltic was first conquered from Sweden, Peter the Great of Russia handed the ruling of the Baltic to his, very corrupt, right-hand man and governor of Ingria. While he fell from the position even before the governorates were properly established, with our position in the Baltic and independence from Russia secured, the ambitions of our state grew, and Ingria became subject to the interest of war hawks and jingoists alike. With our independence, the Russian government has formally declared the transfer of the Imperial Capital from Saint Petersburg to Moscow, undoing Peter the Great's work, with some arguing that now would be the perfect time to claim Ingria. If we were to seize Ingria and St. Petersburg, we would be pretty much expelling Russia from the Baltic Sea, forever tarnishing the legacy their tsars fought to build.;;;;;;;;;;;;;
UBD_claim_ingria_title;Claim Ingria;;;;;;;;;;;;;
unite_poland_galicia_title;Unite Poland with Galicia;;;;;;;;;;;;;
unite_poland_galicia_desc;§RGain 2 infamy§! Despite being once a great state in Eastern Europe, after being partitioned time and time again, the Polish people were divided between Austria, Prussia and Russia. Now, with our significant influence in Polish lands, we could not only partially right this wrong, but also strengthen our Polish allies by pushing to unite Poland with Galicia-Lodomeria, while also taking the opportunity to solve some minor claims the Polish have on us. While the Polish people sure will appreciate the unification, the other powers won't be pleased to see us redrawing Eastern Europe in such a way.;;;;;;;;;;;;;
claim_duchy_estonia_desc;§RGain 3 infamy§! While we were considered by many as a power in decline after the Napoleonic Wars and the loss of Norway, it has become clear that those years of humiliation are behind us. As our nation is once again respected on the world stage, it would only be natural that we start looking into old claims that we could use to solidify our newfound position and prestige. One of the bolder suggestions circulating within our government is that of the Estonian claim. Not only because we held it as a duchy for about a century, but also due to the importance of Estonia in regard to our history - with the legend about the origins of the Dannebog, our flag, in the Battle of Lindanise, during the Livonian Crusade.;;;;;;;;;;;;;
claim_duchy_estonia_title;Reclaim the Duchy of Estland;;;;;;;;;;;;;
subdue_baltic_desc;With our recent defeats in the Baltic, we took a significant blow to our international status. The annexation of the Baltic in the Great Northern War under Peter the Great centuries ago elevated Russia into a true European power and, while the loss of the Baltic won't undermine our position as major player in European politics, we can't deny that it left a sour taste in our mouths. To remedy that, we could reassert our position in the Baltic Sea and claim that the Baltic states do not deserve independence and are still an integral part of our territory.;;;;;;;;;;;;;
subdue_baltic_title;Oppose Baltic Liberty;;;;;;;;;;;;;
unite_greece_title;Unite Greece;;;;;;;;;;;;;
unite_greece_desc;Ever since the end of the Byzantine Empire, the Greek people have never been unified into a single nation. While Attica and Peloponnese managed to be part of the new Greek nation, Greeks in the Aegean sea and Anatolia weren't so lucky, even if some of them recently managed to free themselves from Turkish overlordship. Now, with our control over Greece, the Greek people of the Aegean and Anatolia are skeptical of joining Greece, wary of our presence in the country. But, if we managed to increase our influence in these new states we could, in theory, make so their governments agree to join our Greek vassals, letting our puppet grow in strength.;;;;;;;;;;;;;
ITA_create_yugoslavia_title;Organize Yugoslavia;;;;;;;;;;;;;
ITA_create_yugoslavia_desc;§RGain 5 infamy§! The Balkans have always been a playground for foreign empires. As we strive to prove ourselves as a true great power in Europe, we seek a sphere of influence of our own, with the Balkans emerging as the most promising target. By expanding our influence in the region, we can strip the Austrians and Turks of territory while creating allies who will be forever indebted to us, securing our place as the Masters of the Adriatic.;;;;;;;;;;;;;
RUS_create_yugoslavia_title;Hegemony over South Slavs;;;;;;;;;;;;;
RUS_create_yugoslavia_desc;§RGain 8 infamy§! The Balkans have always been a playground for foreign empires. Populated by South Slavic peoples, the region naturally falls within our sphere of influence, with many viewing us as brothers and liberators due to our role in freeing them from the Ottoman Empire. If we were to complete the liberation of the South Slavic people from the Ottoman and Austrian Empires, we could not only create a powerful ally but also gain access to a route that bypasses the Bosphorus and Dardanelles straits, allowing us to establish a naval presence in the Mediterranean Sea.;;;;;;;;;;;;;
AUS_create_yuguslavia_title;Quelling the Powder Keg;;;;;;;;;;;;;
AUS_create_yuguslavia_desc;§RGain 5 infamy§! The Balkans have always been a playground for foreign empires, including ourselves. We have long held an interest in the region, demonstrated by our control over Croatia and our rivalry with the Ottomans. While we have previously stated that we hold no interest in further expansion, the rise of nationalism has turned the Balkans into a powder keg waiting to explode. If we were to reassert our position, we might be able to organize the region in a way that quells the nationalist fires threatening to destabilize our empire in the future - even if it means angering Russia in the process.;;;;;;;;;;;;;
french_annex_sardinia_desc;§RGain 5 infamy§! Ever since our hegemony over Italy was established, our nation has only benefited — diplomatically, by having the entire peninsula as our ally, and economically, through French investors dominating Italy’s mines and factories. One such place is Sardinia. With its profitable mines and proximity to French Corsica, our investors have taken control of most of the economy on this otherwise isolated island. As a result, there has been growing outcry in Paris over the idea of annexing the island to secure its valuable resources. However, that is not to say the proposal has gone unopposed—many advisors argue that Sardinia has long been isolated from the rest of Italy and has a strong history of resisting outside influence. Still, our far-reaching economic presence may be a promising sign.;;;;;;;;;;;;;
french_annex_sardinia_title;Take over Sardinia;;;;;;;;;;;;;
form_NEE_title;Reform New England;;;;;;;;;;;;;
form_NEE_desc;Now that we united our region, the time has come to reform New England!;;;;;;;;;;;;;
yellow_russia_mongolia_title;Integrate Mongolia into Zheltorossiya;;;;;;;;;;;;;
yellow_russia_mongolia_desc;With our control over Mongolia, we could expand Zheltorossiya and hand these lands over to the government in Harbin, that would, without a doubt, better be able to hold the Mongolian Steppes.;;;;;;;;;;;;;
yellow_russia_xinjiang_title;Integrate Xinjiang into Zheltorossiya;;;;;;;;;;;;;
yellow_russia_xinjiang_desc;With our control over Xinjiang, we could expand Zheltorossiya and hand these lands over to the government in Harbin, that would, without a doubt, better be able to hold Dzungaria.;;;;;;;;;;;;;
yellow_russia_gansu_title;Finalize Zheltorossiya;;;;;;;;;;;;;
yellow_russia_gansu_desc;With our control over Xinjiang and Mongolia, we are almost reaching the final borders we planned for Zheltorossiya. What remains is to push through the Gansu province, so that our border follows the Yellow River. That would certainly make defense of the region easier, but contrary to the rest of Zheltorossiya, Gansu is densely populated, making it harder to control than the rest of Zheltorossiya.;;;;;;;;;;;;;
settlement_of_the_steppe_title;Settle the Kazakh Steppes;;;;;;;;;;;;;
settlement_of_the_steppe_desc;As our first conquest in Central Asia, the land of the Kazakhs has been administered through the Governor-Generalship of the Steppes, primarily maintained by scattered Russian forts and pockets of Russian-dominated cities across the region. With the pacification of the area now complete, our next step is to encourage Russian settlement—taking advantage of the vast expanses of fertile land in northern and eastern Kazakhstan, even at the cost of disrupting nomadic routes and driving the Kazakhs our of their traditional grazing pastures, leaving them open to be transformed into Russian farms.;;;;;;;;;;;;;
start_german_reorg_title;Reform the German Confederation;;;;;;;;;;;;;
start_german_reorg_desc;§RGain 5 infamy§! Despite having no desire to create a unified German nation, our victory against Prussia has granted us near-total hegemony over the former German Confederation—excluding only Prussia proper. This does not mean, however, that the winds of German nationalism have subsided, on the contrary, it remains the most serious threat to our hold over the Confederation. To secure our dominance, we could assert control over the Federal Convention in Frankfurt, enabling us to shape legislation that would entrench—and even expand—our hegemony over Germany without opposition.;;;;;;;;;;;;;
ruhr_comission_title;Establish the Rhenish Industrial Commission;;;;;;;;;;;;;
ruhr_comission_desc;§RGain 5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states for us to consider, one of the most pressing ones would be the Rhineland. The lands along the Rhine have seen a significant boom in industrialization, which would greatly benefit our empire. Thus, we have put forth a proposal in the Federal Convention, to establish the Rhenish Industrial Commission which would, on paper,further boost industrialization in the Ruhr but, in reality, it would give us total control over the Rhenish affairs;;;;;;;;;;;;;
hesse_westphalia_union_title;Propose the Union of Hesse-Westphalia;;;;;;;;;;;;;
hesse_westphalia_union_desc;§RGain 5 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states for us to consider, it recently came to our attention the matter of the duchy of Westphalia and the Hesse states. Westphalia has been under the control of a Habsburg noble ever since the end of the war against Prussia. But now, with our control over Frankfurt, we may change that. This time, one of our advisors has giving the idea of ordering the Duke of Westphalia to resign and partition his land between the states of Hesse, on the condition that they band together in the Union of Hesse-Westphalia and, of course, be loyal to us afterwards.;;;;;;;;;;;;;
reward_hannover_title;Reward the Kingdom of Hanover;;;;;;;;;;;;;
reward_hannover_desc;§RGain 8 infamy§! Now that we hold control over the Federal Convention in Frankfurt, we can begin reorganizing Germany to secure our hegemony over the German Confederation. While there are many states to consider, one stands out: our loyal allies in Hanover. Having only recently gained independence from London, the Kingdom of Hanover has aligned with Austria from day one and supported the German Confederation in both Schleswig Wars. Perhaps it is time to reward this noble nation by expanding its territory—on the condition, of course, that it swears fealty to us.;;;;;;;;;;;;;
create_the_hansa_title;Establish the Hanseatic League;;;;;;;;;;;;;
