EVTOPTA127846;Fully fund reconstruction efforts.;;;;;;;;;;;;;
EVTOPTA127847;German unification wouldn't be that bad...;;;;;;;;;;;;;
EVTOPTA127848;German unification wouldn't be that bad...;;;;;;;;;;;;;
EVTOPTA00001;And division grows even in our own ranks.;;;;;;;;;;;;;
EVTOPTA00002;Let us hope that his reign is long and prosperous.;;;;;;;;;;;;;
EVTOPTA00003;Wait what was that about the Fr-;;;;;;;;;;;;;
EVTOPTA00004;Finally, back to conservatism.;;;;;;;;;;;;;
EVTOPTA00005;Time for a more moderate candidate.;;;;;;;;;;;;;
EVTOPTA00006;Hopefully he wont preside over any major civil conflicts.;;;;;;;;;;;;;
EVTOPTA00007;We shall restore order to Portugal. §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00008;Restore the king's rule and do nothing more. §GLose 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00009;Short may his reign be.;;;;;;;;;;;;;
EVTOPTA00010;The sun has set by his folly.;;;;;;;;;;;;;
EVTOPTA00011;A king no more.;;;;;;;;;;;;;
EVTOPTA00016;Their autonomy is secure.;;;;;;;;;;;;;
EVTOPTA00017;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTA00018;To hell with the opposition- pass it.;;;;;;;;;;;;;
EVTOPTA00019;The fires of revolution are stoked.;;;;;;;;;;;;;
EVTOPTA00020;The banners of war beckon.;;;;;;;;;;;;;
EVTOPTA00021;The Kingdom of Spain stands strong!;;;;;;;;;;;;;
EVTOPTA00022;The Republic has been victorious!;;;;;;;;;;;;;
EVTOPTA00023;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTA00024;Their opposition means little. Abolish the Fueros.;;;;;;;;;;;;;
EVTOPTA00025;Can't they just Basque in the glory of Spain?;;;;;;;;;;;;;
EVTOPTA00026;So it will be.;;;;;;;;;;;;;
EVTOPTA00027;Reform is needed with time.;;;;;;;;;;;;;
EVTOPTA00028;True freedom at last.;;;;;;;;;;;;;
EVTOPTA00029;We still have time.;;;;;;;;;;;;;
EVTOPTA00030;We still have time.;;;;;;;;;;;;;
EVTOPTA00031;We still have time.;;;;;;;;;;;;;
EVTOPTA00032;We still have time.;;;;;;;;;;;;;
EVTOPTA00033;We still have time.;;;;;;;;;;;;;
EVTOPTA00034;We still have time.;;;;;;;;;;;;;
EVTOPTA00035;We still have time.;;;;;;;;;;;;;
EVTOPTA00036;Finally, peace.;;;;;;;;;;;;;
EVTOPTA00037;We must act immediately! §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00038;We shall only restore what belongs rightfully to the church. §GLose 3 infamy§W;;;;;;;;;;;;;
EVTOPTA00039;Milan is our capital.;;;;;;;;;;;;;
EVTOPTA00040;A holy throne.;;;;;;;;;;;;;
EVTOPTA00041;Milan is our capital.;;;;;;;;;;;;;
EVTOPTA00042;We take what is owed us.;;;;;;;;;;;;;
EVTOPTA00043;Enforce the law.;;;;;;;;;;;;;
EVTOPTA00044;Send the offer. §RGain 5 infamy§!;;;;;;;;;;;;;
EVTOPTA00045;We have little choice, accept the French offer.;;;;;;;;;;;;;
EVTOPTA00046;Finally.;;;;;;;;;;;;;
EVTOPTA00047;Wallonia is lost. §GLose 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00048;Cede to the Dutch what is theirs.;;;;;;;;;;;;;
EVTOPTA00049;We will endure.;;;;;;;;;;;;;
EVTOPTA00050;Long live the king!;;;;;;;;;;;;;
EVTOPTA00051;May his reign last.;;;;;;;;;;;;;
EVTOPTA00056;This does not bode well.;;;;;;;;;;;;;
EVTOPTA00057;This is ludicrous!;;;;;;;;;;;;;
EVTOPTA00058;For the king!;;;;;;;;;;;;;
EVTOPTA00059;Long Live the King!;;;;;;;;;;;;;
EVTOPTA00060;Vive la Bourbon!;;;;;;;;;;;;;
EVTOPTA00061;Vive La France!;;;;;;;;;;;;;
EVTOPTA00062;Put down the uprising!;;;;;;;;;;;;;
EVTOPTA00064;Le libéralisme est mort! §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00065;The land rightfully belongs to the aristocracy.;;;;;;;;;;;;;
EVTOPTA00066;Finally, an army to be proud of.;;;;;;;;;;;;;
EVTOPTA00075;Forward the offer.;;;;;;;;;;;;;
EVTOPTA00076;Accept the offer.;;;;;;;;;;;;;
EVTOPTA00077;How could it have possibly gone wrong?;;;;;;;;;;;;;
EVTOPTA00078;Peace in our time!;;;;;;;;;;;;;
EVTOPTA00080;Send the Proposal.;;;;;;;;;;;;;
EVTOPTA00081;Accept.;;;;;;;;;;;;;
EVTOPTA00082;Send the proposal.;;;;;;;;;;;;;
EVTOPTA00083;Accept.;;;;;;;;;;;;;
EVTOPTA00084;Accept;;;;;;;;;;;;;
EVTOPTA00085;Accept.;;;;;;;;;;;;;
EVTOPTA00086;We will weather the storm.;;;;;;;;;;;;;
EVTOPTA00087;The storm has arrived.;;;;;;;;;;;;;
EVTOPTA00088;We will go to war.;;;;;;;;;;;;;
EVTOPTA00089;We have no choice.;;;;;;;;;;;;;
EVTOPTA00116;Dissolve Galicia, Integrate Poland.;;;;;;;;;;;;;
EVTOPTA00117;We have been ruined.;;;;;;;;;;;;;
EVTOPTA00118;Long live the true Romans!;;;;;;;;;;;;;
EVTOPTA00119;Oh the misery!;;;;;;;;;;;;;
EVTOPTA00129;Theodoros Kolokotronis;;;;;;;;;;;;;
EVTOPTA00121;Got it.;;;;;;;;;;;;;
EVTOPTA00122;Long live the Roman Tsar!;;;;;;;;;;;;;
EVTOPTA00123;Let him be, he does little harm.;;;;;;;;;;;;;
EVTOPTA00124;Please, God, have mercy.;;;;;;;;;;;;;
EVTOPTA00125;Perhaps there is a light in the tunnel.;;;;;;;;;;;;;
EVTOPTA00126;The wastrel is a shame to us all.;;;;;;;;;;;;;
EVTOPTA00127;Save us from his madness!;;;;;;;;;;;;;
EVTOPTA00128;The madness has ended.;;;;;;;;;;;;;
EVTOPTA00201;This will undoubtedly bring stability.;;;;;;;;;;;;;
EVTOPTA00204;How many times do we need to teach you this lesson, old man?!;;;;;;;;;;;;;
EVTOPTA00205;The crown is restored.;;;;;;;;;;;;;
EVTOPTA00206;Viva España!;;;;;;;;;;;;;
EVTOPTA00208;What a brilliant idea!;;;;;;;;;;;;;
EVTOPTA183536;Viva México!;;;;;;;;;;;;;
EVTOPTA183637;Fight those rebels! Defend the constitution!;;;;;;;;;;;;;
EVTOPTA46400;A time for reform has come.;L'heure des r?formes a sonn?.;Die Zeit f?r Reformen ist gekommen.;El c?lebre periodista y l?der del Partido Colorado, Jos? Batlle y Ord??ez ha conseguido la aprobaci?n de legislaciones de gran severidad para la reforma pol?tica en Uruguay.;Ha llegado el momento para una reforma;;;;;;;;;
EVTOPTA47077;Interesting indeed;;;;;;;;;
EVTOPTA47078;I'm sure this won't backfire.;;;;;;;;;
EVTOPTA47079;It did backfire...;;;;;;;;;
EVTOPTA47081;A great man indeed.;;;;;;;;;
EVTOPTA81350;Apologize to the Portuguese.;;;;;;;;;;;;;
EVTOPTA81351;Accept the Chinese Apology.;;;;;;;;;;;;;
EVTOPTA81352;Oh dear!;;;;;;;;;;;;;
EVTOPTA81353;Those Perfidious Iberians!;;;;;;;;;;;;;
EVTOPTA3151;Let's hope they find more silver.;;;;;;;;;;;;;
EVTOPTA1101;Silver!;;;;;;;;;;;;;
EVTOPTA00104;We will destroy them!;;;;;;;;;;;;;
EVTOPTA00105;We will assimilate them eventually.;;;;;;;;;;;;;
EVTOPTA00106;A truly useful individual.;;;;;;;;;;;;;
EVTOPTA00107;He was a truly illustrious politician.;;;;;;;;;;;;;
EVTOPTA00108;A shame. He showed such promise.;;;;;;;;;;;;;
EVTOPTA00109;We shall explore his reforms.;;;;;;;;;;;;;
EVTOPTA00110;We will explore his reforms.;;;;;;;;;;;;;
EVTOPTA00111;The Hungarian Crown belongs to Austria, and not the other way around.;;;;;;;;;;;;;
EVTOPTA00112;We will put this rebellion down.;;;;;;;;;;;;;
EVTOPTA00113;The Hungarian Crown is dissolved.;;;;;;;;;;;;;
EVTOPTA00114;The Habsburg crown is supreme.;;;;;;;;;;;;;
EVTOPTA00115;The Netherlands is one and whole under us.;;;;;;;;;;;;;
EVTOPTA00090;A new sun rises over Europe.;;;;;;;;;;;;;
EVTOPTA00079;We will endure the tide.;;;;;;;;;;;;;
EVTOPTA00094;The king is Spanish, so too should the realm be.;;;;;;;;;;;;;
EVTOPTA00095;This does not bode well.;;;;;;;;;;;;;
EVTOPTA00098;These fools again? We already won.;;;;;;;;;;;;;
EVTOPTA00100;We will not let go of our crown.;;;;;;;;;;;;;
EVTOPTA00091;So passes the crown.;;;;;;;;;;;;;
EVTOPTA00092;The king is dead! Long live the king!;;;;;;;;;;;;;
EVTOPTA00093;Hopefully he wont preside over any massive global conflicts that devastate the known world.;;;;;;;;;;;;;
EVTOPTA00052;Jean III, the Spaniard.;;;;;;;;;;;;;
EVTOPTA00053;And so the crown passes.;;;;;;;;;;;;;
EVTOPTA00054;Long live Jaime!;;;;;;;;;;;;;
EVTOPTA00055;With a Heart of Iron France shall endure.;;;;;;;;;;;;;
EVTOPTA00063;Unfortunate.;;;;;;;;;;;;;
EVTOPTA00067;This will help secure peace, for now.;;;;;;;;;;;;;
EVTOPTA00068;Send the offer. §RGain 3 infamy§W;;;;;;;;;;;;;
EVTOPTA00069;Accept.;;;;;;;;;;;;;
EVTOPTA00070;A bloodless victory, as intended.;;;;;;;;;;;;;
EVTOPTA00071;Their loss. §GLose 3 infamy§W;;;;;;;;;;;;;
EVTOPTA00072;A perfect opportunity.;;;;;;;;;;;;;
EVTOPTA00073;We claim India as our own! The Princely States shall go free.;;;;;;;;;;;;;
EVTOPTA00074;How many times do we have to teach you this lesson, old man? §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTA00202;And all it took was our entire economy!;;;;;;;;;;;;;
EVTOPTA00203;Naturally.;;;;;;;;;;;;;
EVTOPTA00207;We must destroy the trade at all costs.;;;;;;;;;;;;;
EVTOPTA00012;We must demand their expatriation elsewhere!;;;;;;;;;;;;;
EVTOPTA00013;We will not violate our sovereignty for liberal prattle!;;;;;;;;;;;;;
EVTOPTA00014;Are the Bourbons worth that much?;;;;;;;;;;;;;
EVTOPTA00015;I wonder if we can make them expatriate their own Bourbons too.;;;;;;;;;;;;;
EVTOPTA211400;What an imaginative scheme.;;;;;;;;;;;;;
EVTOPTA211401;Send them to work on the plantations.;;;;;;;;;;;;;
EVTOPTA211402;It is none of our concern.;;;;;;;;;;;;;
EVTOPTA211403;Side with the Resident: Order & Stability are of the utmost importance;;;;;;;;;;;;;
EVTOPTA211404;We will not be blackmailed.;;;;;;;;;;;;;
EVTOPTA211405;Maybe he has a point. §RGain 2 infamy§!;;;;;;;;;;;;;
EVTOPTA211409;Good man.;;;;;;;;;;;;;
EVTOPTA210449;Perhaps we should also get into this colonial game.;;;;;;;;;;;;;
EVTOPTA211412;Award the contract to our associates.;;;;;;;;;;;;;
EVTOPTA211413;And reform it is.;;;;;;;;;;;;;
EVTOPTA211414;Grant equal rights.;;;;;;;;;;;;;
EVTOPTA211418;Can we really blame them?;;;;;;;;;;;;;
EVTOPTA211450;Sometimes the natives just a bit of roughing up;;;;;;;;;;;;;
EVTOPTA211440;It is a step in the right direction (removes Cultuurstelsel modifiers);;;;;;;;;;;;;
EVTOPTA211445;A true land of opportunity;;;;;;;;;;;;;
EVTOPTA211250;And we'll name it the Oranje-Nassau Mine.;;;;;;;;;;;;;
EVTOPTA211251;Things are the way they are.;;;;;;;;;;;;;
EVTOPTA211252;Confirm prince Hidayatullah.;;;;;;;;;;;;;
EVTOPTA211253;May he rest in peace;;;;;;;;;;;;;
EVTOPTA211254;Confirm our candidate as Sultan.;;;;;;;;;;;;;
EVTOPTA211255;Direct their anger outwards.;;;;;;;;;;;;;
EVTOPTA211256;Reinforce the outpost;;;;;;;;;;;;;
EVTOPTA211262;This is an debt which will be repaid in blood. §RGain 2 infamy§!;;;;;;;;;;;;;
EVTOPTA211290;We shall restore $COUNTRY_ADJ$ hegemony in the region. §RGain 4 infamy§!;;;;;;;;;;;;;
EVTOPTA211411;The matter is being discussed with ever vigor.;;;;;;;;;;;;;
EVTOPTA211900;And Multatuli is right;;;;;;;;;;;;;
EVTOPTA2114110;The chief of the colonial opposition indeed.;;;;;;;;;;;;;
EVTOPTA210460;It is a done deal;;;;;;;;;;;;;
EVTOPTA211590;A mental bridge of rapprochement and reconciliation;;;;;;;;;;;;;
EVTOPTA211551;It seems a new Liberal foreman has arisen;;;;;;;;;;;;;
EVTOPTA211550;This proposal, never, even if were next to the scaffold.;;;;;;;;;;;;;
EVTOPTA211552;Closet? What Closet?;;;;;;;;;;;;;
EVTOPTA211553;The blemish on the line is too great.;;;;;;;;;;;;;
EVTOPTA211532;It is time to recognize them as a separate church;;;;;;;;;;;;;
EVTOPTA211560;Amen?;;;;;;;;;;;;;
EVTOPTA211561;If only we weren't tied to the Constitution...;;;;;;;;;;;;;
EVTOPTA211562;It was a pleasant, festive and quiet day.;;;;;;;;;;;;;
EVTOPTA211563;The Government Falls;;;;;;;;;;;;;
EVTOPTA211500;...prepare for classes.;;;;;;;;;;;;;
EVTOPTA211502;What is next? Voting for women?;;;;;;;;;;;;;
EVTOPTA211503;Her example should serve as an inspiration to all women!;;;;;;;;;;;;;
EVTOPTA211504;If the law meant to include women, it would have explicitly said so.;;;;;;;;;;;;;
EVTOPTA211505;Can't she just shut up...?;;;;;;;;;;;;;
EVTOPTA211497;Indeed they do!;;;;;;;;;;;;;
EVTOPTA211498;In fact, 100,000 people would visit it in less than 2 months.;;;;;;;;;;;;;
EVTOPTA211490;A beautiful gift.;;;;;;;;;;;;;
EVTOPTA211489;Plan Kalff - The Limited Option.;;;;;;;;;;;;;
EVTOPTA211488;Very interesting.;;;;;;;;;;;;;
