Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME2037107;Cheating;;;;;;;;;;;;;
EVTDESC2037107;One of the other players has been cheating, $FROMCOUNTRY$ has a bonus he shouldn't have.;;;;;;;;;;;;;
EVTDESC36898_NEWS_LONG;Princess Alexandrina Victoria of House Hanover has ascended to the throne of The United Kingdom of Great Britain and Ireland as 'Queen Victoria'. Today a jubilant London crowd has escorted her to her residence in the newly built Buckingham Palace. People of all classes and creeds are delighted to see the new Monarch take her place as sovereign of the UK, and the Queen herself is reportedly looking forward to the tasks and challenges which accompany this onerous office. Her uncle, King William IV, will be greatly missed and fondly remembered by the British people.;;Prinzessin Alexandrina Victoria von Hannover hat den Thron des Vereinigten Königreichs von Großbritannien und Irland als 'Königin Victoria' bestiegen. Die jubelnde Londoner Menge eskortierte sie zu ihrer Residenz im neuen Buckingham Palace. Menschen aller Klassen und jeden Glaubens freuen sich über die neue Monarchin auf dem Thron Großbritanniens und die Königin sieht lt. Berichten den Aufgaben und Herausforderungen dieses ehrbaren Amtes freudig entgegen. Ihr Vater, König George III. wird sehr vermisst werden und dem britischen Volk in guter Erinnerung bleiben.;;;;;;;;;;;
EVTDESC36898_NEWS_MEDIUM;Princess Alexandrina Victoria has ascended the throne of The United Kingdom of Great Britain & Ireland. Today a jubilant crowd has escorted her to Buckingham Palace. People of all classes and creeds are delighted and she is looking forward to the tasks which accompany the office.;;Prinzessin Alexandrina Victoria hat den Thron des Vereinigten Königreichs von Großbritannien und Irland bestiegen. Eine jubelnde Menge begleitete sie heute zum Buckingham Palace. Sie sieht den Aufgaben dieses ehrbaren Amtes freudig entgegen.;;;;;;;;;;;
EVTDESC36898_NEWS_SHORT;Princess Victoria of House Hanover has ascended the throne of The United Kingdom of Great Britain & Ireland. People of all classes and creeds are delighted. King Willian IV will be greatly missed.;;Prinzessin Victoria von Hannover hat den Thron des Vereinigten Königreichs von Großbritannien und Irland bestiegen. Menschen aller Gruppierungen jubeln. König George wird vermisst werden.;;;;;;;;;;;
EVTNAME44360;Louis Riel Gains Public Notice;;;;;;;;;;;;;
EVTDESC44360;The noted Louis Riel has become a figurehead amongst his people. He calls for increased rights for Metis people across Canada. Unique among his number, the young Riel has quickly risen to prominence due to his eloquent speech, his education, and his earnest beliefs. Leaving him alive would be a great example of Canada's freedom of speech, but the government can pull a few strings in order to effect a policy beneficial to the status quo.;;;;;;;;;;;;;
EVTNAME44361;William McDougall;;;;;;;;;;;;;
EVTDESC44361;The Anglo-Canadian gentleman William McDougall has been proposed to be the Lieutenant Governor of the troubled Rupert's Land/North West Territories. His invaluable service and experience in the past puts him in a prime position to manage the territories, but some believe his anti-French and Anti-Metis policies to be too heavy-handed for the troubled territories.;;;;;;;;;;;;;
EVTNAME44362;The Red River Rebellion;;;;;;;;;;;;;
EVTDESC44362;The Red River Rebellion, later referred to as the First Riel Rebellion, was a rebellion that occurred soon after Canadian Confederation. The Canadian Government had installed an anti-French and anti-Metis lieutenant governor, William McDougall, in the newly-bought North West Territory. When McDougall sent surveyors into what would eventually be the province of Manitoba, the restless Metis inhabitants sent their own delegation to intercept these surveyors and proclaimed the existence of the Metis Confederation. Historically, they established a provisional government in the new Confederation, which the Canadian Government tolerated while the situation developed.;;;;;;;;;;;;;
EVTNAME44363;The Execution of Thomas Scott;;;;;;;;;;;;;
EVTDESC44363;Thomas Scott, an Orangeman of Irish descent, was executed by Louis Riel during the Red River Rebellion for conspiring against the self-proclaimed Metis provisional government. Historically, Riel wished to show the world that the Metis peoples were demanding to be taken seriously, but the Canadian Government viewed this action by Riel as a step too far and outfitted the Wolseley Expedition to quell the Rebellion. After conflicts with the Metis, Louis Riel was captured and exiled to the United States. With this, the Red River Rebellion was crushed, but the Metis and Native peoples would not soon forget this act.;;;;;;;;;;;;;
EVTNAME44364;The Return of Louis Riel and the Second Riel Rebellion;;;;;;;;;;;;;
EVTDESC44364;After being elected to parliament three times in absentia after his exile, Louis Riel returned to Canada in 1884. Using increased Metis and Native cohesion, the ailing Riel managed to assemble a loose coalition to reattempt his rebellion for Metis independence in 1885. Historically, this rebellion was a failure due to internal strife amongst Rebellion leaders, an increasingly ill and megalomaniacal Riel, and increased Federal cohesion. Canada was no longer a fledgling nation just getting on its feet, and quickly moved to wipe out Riel and his rebellion.;;;;;;;;;;;;;
EVTNAME44365;Louis Riel's Fate;;;;;;;;;;;;;
EVTDESC44365;Historically, after surrendering to the Canadian forces after his failed rebellion, the Canadian Government held a quick trial in what can be best called a kangaroo court. Held in a hostile city before a jury of purely Anglo-Canadian Protestant jurors, the Catholic Metis Louis Riel was found guilty of treason and sentenced to death after a trial lasting only five days. Louis Riel refused to plea insanity, instead delivering two heartfelt speeches to the court, and later asserting to his lawyer that "Life, without the dignity of an intelligent being, is not worth having." Louis Riel was hanged on the 18th of September, 1885. His rebellions and the spirit of the Metis would largely die with him, but in due time he would be remembered as a folk hero amongst White, Metis, and Native people alike.;;;;;;;;;;;;;
EVTNAME44366;Quebec Presses for Release!;;;;;;;;;;;;;
EVTDESC44366;Following the precedent of a recent secession, the Quebecois peoples are pressing the Canadian Government for independence!;;;;;;;;;;;;;
EVTNAME44367;Columbia Presses for Release!;;;;;;;;;;;;;
EVTDESC44367;Following the precedent of a recent secession, the Columbian peoples are pressing the Canadian Government for independence!;;;;;;;;;;;;;
EVTNAME44368;The Metis Confederation is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44368;The Metis Confederation has managed to gain independence, either through rebellion or external means.;;;;;;;;;;;;;
EVTNAME44369;Quebec is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44369;Quebec has managed to gain independence, either through rebellion or external means.;;;;;;;;;;;;;
EVTNAME44370;Columbia is beyond our grasp!;;;;;;;;;;;;;
EVTDESC44370;Columbia has managed to gain independence, either through rebellion or external means.;;;;;;;;;;;;;
EVTNAME203770;Slavery Continues In Our Nation;;;;;;;;;;;;;
EVTDESC203770;Slavery, that ever-controversial policy, has continued on in our nation.;;;;;;;;;;;;;
EVTNAME203800;Anti-Terrorism Coalition Proposed;;;;;;;;;;;;;
EVTDESC203800;A group of wealthy capitalists from your country has come to you after the recent attack on the Statue of Liberty. They propose an anti-terrorism coalition force to protect our country from any possible terrorist attacks. They are all upstanding capitalists and the core of your economy, but they also propose a different option: technological progress and ethical flexibility. All you need is to give your executive order.;;;;;;;;;;;;;
EVTNAME203801;Secret Conspiracies uncovered!;;;;;;;;;;;;;
EVTDESC203801;After poking around with your secret police, it has come to your attention that the anti-terrorism force is just a front for a conspiracy of capitalists who seek to take control of the nation and the world. When you confront them, they very tactfully invite you to join their secret organization and gain a place in the world, so long as you help them with their devious plans.;;;;;;;;;;;;;
EVTNAME203802;The Conspiracy reaches fruition;;;;;;;;;;;;;
EVTDESC203802;We've had to endure much, but soon there will be order again. A new age! Aquinas spoke of the mythical city on the hill. Soon that city will be a reality.;;;;;;;;;;;;;
EVTNAME203771;Fascist Takeover of Government!;;;;;;;;;;;;;
EVTNAME203772;Communist Takeover of Government!;;;;;;;;;;;;;
EVTNAME203700;The Republican Coup;;;;;;;;;;;;;
EVTDESC203700;The end of slavery had resulted in an explicit shift of support to republicanism by rich and powerful coffee farmers who held great political, economic and social power in the country. To avert a republican backlash, the government adopted a series of credit and military policies and reforms to appease the land owners. The measures made by the government alarmed the civilian republicans and the Positivists in the military corps. They saw that it would undercut support for their own aims, and were emboldened to further action. For them, it had become a case of "now or never". Although there was no desire in Brazil among the majority of the population to change the form of government, the civilian republicans began pressuring the Positivist officers to overthrow the monarchy. The Positivists launched a coup d'etat and tried to institute a republic on November 15, 1889. During the whole ordeal Pedro II showed no emotion, as if unconcerned about the outcome. He only commented:;;;;;;;;;;;;;
EVTNAME203701;The Golden Law;;;;;;;;;;;;;
EVTDESC203701;The Lei Áurea (Golden Law) was sanctioned by Isabel, Imperial Princess of Brazil, who was regent at the time while her father, Emperor Dom Pedro II, was in Europe. It was signed on May 13, 1888 and was the law that abolished slavery in Brazil. It had only two articles. The succinctness of the law was intended to make clear that there were no conditions of any kind to the freeing of all slaves. Aside from the activities of abolitionists, there were a number of reasons for the signing of the law: slavery was no longer profitable, as the wages of European immigrants, whose working conditions were poor, cost less than the upkeep of slaves, and the decline in the arrival of new slaves - Brazil was the last country in the Western world to abolish slavery. The Brazilian government was also under pressure from Britain, who sought to end the slave trade in order to expand production in its own colonies.;;;;;;;;;;;;;
EVTNAME203702;The Rise of Getulio Vargas;;;;;;;;;;;;;
